questionid,uniquequestionid_initial,uniquequestionid_mid,uniquequestionid_end,response_location_initial,response_location_mid,response_location_end,surveyid_initial,surveyid_mid,surveyid_end,superquestion_wording_initial,superquestion_wording_mid,superquestion_wording_end,question_wording_initial,question_wording_mid,question_wording_end,attribution
kitchen_sink,,kitchen_sink_mid,,,survey_responses,,,primary_web_mid,,,"<div>For each of the energy using appliances below, please tick if you:</div>

<ul>
	<li>have had existing ones <b>replaced</b> since the start of the project, or</li>
	<li><b>got or</b> <b>installed additional</b> ones since the start, or </li>
	<li>had any <b>fall out of use</b> (e.g. break but not get repaired or replaced) since the start.</li>
</ul>

<div>(ignore any appliances in the list that haven't changed or that you don't have)</div>",,,Kitchen sink(s),,"ARCC-Water Survey, 2011"
laptop,laptop,,,other_appliance,,,primary_facetoface_initial,,,Could you tell me how many of each of the following you have in your home? Only include ones that are usually in working condition.<div>[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]</div>,,,n. Laptops,,,"ARCC-Water Survey, 2011"
limin_intransition_4b,limin_intransition_4b_initial,limin_intransition_4b_mid,limin_intransition_4b_end,survey_responses,survey_responses,survey_responses,all_inapp_initial,all_inapp_mid,all_web_end,To what extent do you agree with the following statements?,To what extent do you agree with the following statements?,To what extent do you agree with the following statements?,I am currently making a big transition in my life.,I am currently making a big transition in my life.,I am currently making a big transition in my life,"Axsen et al, 2012"
limin_littlefreetime_4b,limin_littlefreetime_4b_initial,limin_littlefreetime_4b_mid,limin_littlefreetime_4b_end,survey_responses,survey_responses,survey_responses,all_inapp_initial,all_inapp_mid,all_web_end,To what extent do you agree with the following statements?,To what extent do you agree with the following statements?,To what extent do you agree with the following statements?,I have very little free time.,I have very little free time.,I have very little free time,"Axsen et al, 2012"
limin_newactivities_4b,limin_newactivities_4b_initial,limin_newactivities_4b_mid,limin_newactivities_4b_end,survey_responses,survey_responses,survey_responses,all_inapp_initial,all_inapp_mid,all_web_end,To what extent do you agree with the following statements?,To what extent do you agree with the following statements?,To what extent do you agree with the following statements?,I often try new activities.,I often try new activities.,I often try new activities,"Axsen et al, 2012"
media_entertainment,media_entertainment,,,other_appliance,,,primary_facetoface_initial,,,Could you tell me how many of each of the following you have in your home? Only include ones that are usually in working condition.<div>[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]</div>,,,"b. Media and entertainment devices that use the television, including satellite or cable boxes, streaming video boxes,  personal video recorders, DVD players and games consoles",,,"ARCC-Water Survey, 2011"
microwave,,microwave_mid,,,survey_responses,,,primary_web_mid,,,"<div>For each of the energy using appliances below, please tick if you:</div>

<ul>
	<li>have had existing ones <b>replaced</b> since the start of the project, or</li>
	<li><b>got or</b> <b>installed additional</b> ones since the start, or </li>
	<li>had any <b>fall out of use</b> (e.g. break but not get repaired or replaced) since the start.</li>
</ul>

<div>(ignore any appliances in the list that haven't changed or that you don't have)</div>",,,Microwaves,,"ARCC-Water Survey, 2011"
motor_bike,,motor_bike_mid,,,survey_responses,,,primary_web_mid,,,"How many vehicles are owned, or available to the household? <div>(include company vehicles, if they're available for private use).</div>",,,Motorbikes and motor scooters,,"English Housing Survey, 2013-2014, question IfCarNew"
motor_vehicle,motor_vehicle,motor_vehicle_mid,,other_appliance,survey_responses,,primary_facetoface_initial,primary_web_mid,,,"How many vehicles are owned, or available to the household? <div>(include company vehicles, if they're available for private use).</div>",,"How many cars or vans are owned, or available to the household? Include company cars (if available for private use).",Cars and vans,,"English Housing Survey, 2013-2014, question IfCarNew"
motor_vehicle_other,,motor_vehicle_other_mid,,,survey_responses,,,primary_web_mid,,,"How many vehicles are owned, or available to the household? <div>(include company vehicles, if they're available for private use).</div>",,,Other motor vehicles (e.g. motor homes),,"English Housing Survey, 2013-2014, question IfCarNew"
new_build_year,new_build_year,,,home,,,primary_facetoface_initial,,,,,,"<div>And do you know the exact year this property was built?</div><div>[Again, enter the date yourself if you know or enter a reasonable estimate rather than leaving blank]</div>",,,"English Housing Survey, 2013-2014, question YrBult3"
non_smart_phone,non_smart_phone,,,other_appliance,,,primary_facetoface_initial,,,Could you tell me how many of each of the following you have in your home? Only include ones that are usually in working condition.<div>[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]</div>,,,q. Non-smart mobile phones (ones with physical keypads),,,"ARCC-Water Survey, 2011"
occupied_days,occupied_days,occupied_days_mid,,home,survey_responses,,primary_facetoface_initial,primary_web_mid,,,,,"In a typical week, how many days would you say your home is occupied during the day; that is, with at least one person in it for most of the day?","<div>In a typical week, how many days would you say your home is occupied during the day?</div><div>(with at least one person in it for most of the day)</div>",,No attribution
occupied_nights,occupied_nights,occupied_nights_mid,,home,survey_responses,,primary_facetoface_initial,primary_web_mid,,,,,"Also in a typical week, how many days would you say your home is occupied during the night; that is, with at least one person in it for most of the night?","Also in a typical week, how many days would you say your home is occupied during the night?",,No attribution
other_high_power_1,other_high_power_1,,,other_appliance,,,primary_facetoface_initial,,,"<div>Could you also tell me if you have any other appliances in your home that are not fixed in place that you think might use a lot of power or energy? Again, only include ones that are usually in working condition. [Ask how many of each]</div><div>[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]</div><div>[NB. Don't include toasters, microwaves or kettles here - they are recorded by the installer in the iPad app instead]</div>",,,Other [1],,,No attribution
other_high_power_2,other_high_power_2,,,other_appliance,,,primary_facetoface_initial,,,"<div>Could you also tell me if you have any other appliances in your home that are not fixed in place that you think might use a lot of power or energy? Again, only include ones that are usually in working condition. [Ask how many of each]</div><div>[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]</div><div>[NB. Don't include toasters, microwaves or kettles here - they are recorded by the installer in the iPad app instead]</div>",,,Other [2],,,No attribution
other_high_power_3,other_high_power_3,,,other_appliance,,,primary_facetoface_initial,,,"<div>Could you also tell me if you have any other appliances in your home that are not fixed in place that you think might use a lot of power or energy? Again, only include ones that are usually in working condition. [Ask how many of each]</div><div>[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]</div><div>[NB. Don't include toasters, microwaves or kettles here - they are recorded by the installer in the iPad app instead]</div>",,,Other [3],,,No attribution
other_high_power_4,other_high_power_4,,,other_appliance,,,primary_facetoface_initial,,,"<div>Could you also tell me if you have any other appliances in your home that are not fixed in place that you think might use a lot of power or energy? Again, only include ones that are usually in working condition. [Ask how many of each]</div><div>[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]</div><div>[NB. Don't include toasters, microwaves or kettles here - they are recorded by the installer in the iPad app instead]</div>",,,Other [4],,,No attribution
outcome_norm_env_1c,outcome_norm_env_1c_initial,outcome_norm_env_1c_mid,outcome_norm_env_1c_end,survey_responses,survey_responses,survey_responses,all_inapp_initial,all_inapp_mid,all_web_end,,,,Which of these statements best describes how you feel about your day-to-day life in the home and the environment?,Which of these statements best describes how you feel about your day-to-day life in the home and the environment?,Which of these statements best describes how you feel about your day-to-day life in the home and the environment?,"ARCC-Water Survey, 2011"
outdoor_drying,outdoor_drying,,,home,,,primary_facetoface_initial,,,,,,Is that a space where you could dry clothes outside?,,,"ARCC-Water Survey, 2011"
outdoor_elec_space_heater,outdoor_elec_space_heater,,,other_appliance,,,primary_facetoface_initial,,,"Could you tell me how many of the following you have in your outdoor space? Only include ones that use your own electricity or gas supply, and that are usually in working condition.[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]",,,e. Mains electricity powered outdoor space heaters,,,"ARCC-Water Survey, 2011"
outdoor_gas_space_heater,outdoor_gas_space_heater,,,other_appliance,,,primary_facetoface_initial,,,"Could you tell me how many of the following you have in your outdoor space? Only include ones that use your own electricity or gas supply, and that are usually in working condition.[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]",,,d. Mains gas powered outdoor space heaters,,,"ARCC-Water Survey, 2011"
outdoor_hot_tub,outdoor_hot_tub,,,other_appliance,,,primary_facetoface_initial,,,"Could you tell me how many of the following you have in your outdoor space? Only include ones that use your own electricity or gas supply, and that are usually in working condition.[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]",,,"a. Outdoor Jacuzzi, spa and hot tubs",,,"ARCC-Water Survey, 2011"
outdoor_light,outdoor_light,,,other_appliance,,,primary_facetoface_initial,,,"Could you tell me how many of the following you have in your outdoor space? Only include ones that use your own electricity or gas supply, and that are usually in working condition.[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]",,,c. Mains powered outdoor lights (e.g. in driveway or garden),,,"ARCC-Water Survey, 2011"
outdoor_space,outdoor_space,,,home,,,primary_facetoface_initial,,,,,,"Does your home include any outdoor space that you can access, either that is private just for your use, or which is shared with a small number of neighbours?",,,"ARCC-Water Survey, 2011"
outdoor_water_feature,outdoor_water_feature,,,other_appliance,,,primary_facetoface_initial,,,"Could you tell me how many of the following you have in your outdoor space? Only include ones that use your own electricity or gas supply, and that are usually in working condition.[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]",,,b. Mains powered garden water feature (e.g. fountain),,,"ARCC-Water Survey, 2011"
overall_satisfaction_1b,overall_satisfaction_1b_initial,overall_satisfaction_1b_mid,overall_satisfaction_1b_end,survey_responses,survey_responses,survey_responses,all_inapp_initial,all_inapp_mid,all_web_end,To what extent do you agree with the following statements?,To what extent do you agree with the following statements?,To what extent do you agree with the following statements?,I am satisfied with my day-to-day life nowadays.,I am satisfied with my day-to-day life nowadays.,I am satisfied with my day-to-day life nowadays,"Axsen et al, 2012; English Housing Survey, 2013-2014, question QwbIntro"
payless_elec_4b,,,payless_elec_4b_end,,,survey_responses,,,all_web_end,,,To what extent do you agree with the following statements?,,,I would like to pay less than I do for my electricity,No attribution
payless_gas_4b,,,payless_gas_4b_end,,,survey_responses,,,all_web_end,,,To what extent do you agree with the following statements?,,,I would like to pay less than I do for my gas,No attribution
paymore_renewables_4b,,,paymore_renewables_4b_end,,,survey_responses,,,all_web_end,,,To what extent do you agree with the following statements?,,,I would pay more for my electricity bills if the energy came from renewable sources only,No attribution
relationtoprimary,relationtoprimary,relationtoprimary,,person,person,,primary_facetoface_initial,primary_web_mid,,What are their relationships to you?<b> [Show card relate_to_pp]</b>,What are their relationships to you?,,[Person's name],[Person's name],,"ARCC-Water Survey, 2011; Wynford Survey, 2012; English Housing Survey, 2013-2014, questions R01-R16"
residents,residents,residents_mid,,home,survey_responses,,primary_facetoface_initial,primary_web_mid,,,,,"The first set of questions are to get some information about you, and about any other people living in the household with you. <br>
To begin with, can you tell me how many people currently live here, including you?","How many people currently live in your home, including you?",,"ARCC-Water Survey, 2011; Wynford Survey, 2012"
satis_energy_use_1b,,,satis_energy_use_1b_end,,,survey_responses,,,all_web_end,,,,,,Which of these statements best describes how you feel about the amount of energy you personally use at home?,No attribution
saveenergy_4b,saveenergy_4b_initial,saveenergy_4b_mid,saveenergy_4b_end,survey_responses,survey_responses,survey_responses,all_inapp_initial,all_inapp_mid,all_web_end,,,,"Thinking in general, how important is it to you in your day-to-day life at home to use as little energy as possible?","Thinking in general, how important is it to you in your day-to-day life at home to use as little energy as possible?","Thinking in general, how important is it to you in your day-to-day life at home to use as little energy as possible?",No attribution
schwartz_achievement_4a,schwartz_achievement_4a_initial,schwartz_achievement_4a_mid,schwartz_achievement_4a_end,survey_responses,survey_responses,survey_responses,all_inapp_initial,all_inapp_mid,all_web_end,"Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?","Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?","Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?",Being very successful is important to this person; to have people recognize ones achievements.,Being very successful is important to this person; to have people recognize ones achievements.,Being very successful is important to this person; to have people recognize oneÃ¢ÂÂs achievements.,"World Values Survey, Wave 6, 2010-2014, questions V70-V79"
schwartz_benevolence_nearby_4a,schwartz_benevolence_nearby_4a_initial,schwartz_benevolence_nearby_4a_mid,schwartz_benevolence_nearby_4a_end,survey_responses,survey_responses,survey_responses,all_inapp_initial,all_inapp_mid,all_web_end,"Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?","Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?","Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?",It is important for this person to help the people nearby; to care for their well-being.,It is important for this person to help the people nearby; to care for their well-being.,It is important for this person to help the people nearby; to care for their well-being.,"World Values Survey, Wave 6, 2010-2014, questions V70-V79"
schwartz_benevolence_soc_4a,schwartz_benevolence_soc_4a_initial,schwartz_benevolence_soc_4a_mid,schwartz_benevolence_soc_4a_end,survey_responses,survey_responses,survey_responses,all_inapp_initial,all_inapp_mid,all_web_end,"Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?","Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?","Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?",It is important to this person to do something for the good of society.,It is important to this person to do something for the good of society.,It is important to this person to do something for the good of society.,"World Values Survey, Wave 6, 2010-2014, questions V70-V79"
schwartz_conformity_4a,schwartz_conformity_4a_initial,schwartz_conformity_4a_mid,schwartz_conformity_4a_end,survey_responses,survey_responses,survey_responses,all_inapp_initial,all_inapp_mid,all_web_end,"Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?","Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?","Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?",It is important to this person to always behave properly; to avoid doing anything people would say is wrong.,It is important to this person to always behave properly; to avoid doing anything people would say is wrong.,It is important to this person to always behave properly; to avoid doing anything people would say is wrong.,"World Values Survey, Wave 6, 2010-2014, questions V70-V79"
schwartz_hedonism_4a,schwartz_hedonism_4a_initial,schwartz_hedonism_4a_mid,schwartz_hedonism_4a_end,survey_responses,survey_responses,survey_responses,all_inapp_initial,all_inapp_mid,all_web_end,"Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?","Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?","Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?",It is important to this person to have a good time.,It is important to this person to have a good time.,It is important to this person to have a good time.,"World Values Survey, Wave 6, 2010-2014, questions V70-V79"
schwartz_power_4a,schwartz_power_4a_initial,schwartz_power_4a_mid,schwartz_power_4a_end,survey_responses,survey_responses,survey_responses,all_inapp_initial,all_inapp_mid,all_web_end,"Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?","Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?","Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?",It is important to this person to be rich; to have a lot of money and expensive things.,It is important to this person to be rich; to have a lot of money and expensive things.,It is important to this person to be rich; to have a lot of money and expensive things.,"World Values Survey, Wave 6, 2010-2014, questions V70-V79"
schwartz_security_4a,schwartz_security_4a_initial,schwartz_security_4a_mid,schwartz_security_4a_end,survey_responses,survey_responses,survey_responses,all_inapp_initial,all_inapp_mid,all_web_end,"Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?","Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?","Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?",Living in secure surroundings is important to this person; to avoid anything that might be dangerous.,Living in secure surroundings is important to this person; to avoid anything that might be dangerous.,Living in secure surroundings is important to this person; to avoid anything that might be dangerous.,"World Values Survey, Wave 6, 2010-2014, questions V70-V79"
schwartz_self_direction_4a,schwartz_self_direction_4a_initial,schwartz_self_direction_4a_mid,schwartz_self_direction_4a_end,survey_responses,survey_responses,survey_responses,all_inapp_initial,all_inapp_mid,all_web_end,"Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?","Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?","Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?",It is important to this person to think up new ideas and be creative; to do things ones own way.,It is important to this person to think up new ideas and be creative; to do things ones own way.,It is important to this person to think up new ideas and be creative; to do things oneÃ¢ÂÂs own way.,"World Values Survey, Wave 6, 2010-2014, questions V70-V79"
schwartz_stimulation_4a,schwartz_stimulation_4a_initial,schwartz_stimulation_4a_mid,schwartz_stimulation_4a_end,survey_responses,survey_responses,survey_responses,all_inapp_initial,all_inapp_mid,all_web_end,"Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?","Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?","Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?",Adventure and taking risks are important to this person; to have an exciting life.,Adventure and taking risks are important to this person; to have an exciting life.,Adventure and taking risks are important to this person; to have an exciting life.,"World Values Survey, Wave 6, 2010-2014, questions V70-V79"
schwartz_tradition_4a,schwartz_tradition_4a_initial,schwartz_tradition_4a_mid,schwartz_tradition_4a_end,survey_responses,survey_responses,survey_responses,all_inapp_initial,all_inapp_mid,all_web_end,"Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?","Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?","Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?",Tradition is important to this person; to follow the customs handed down by ones religion or family.,Tradition is important to this person; to follow the customs handed down by ones religion or family.,Tradition is important to this person; to follow the customs handed down by oneÃ¢ÂÂs religion or family.,"World Values Survey, Wave 6, 2010-2014, questions V70-V79"
schwartz_universalism_4a,schwartz_universalism_4a_initial,schwartz_universalism_4a_mid,schwartz_universalism_4a_end,survey_responses,survey_responses,survey_responses,all_inapp_initial,all_inapp_mid,all_web_end,"Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?","Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?","Below are descriptions of some people. Would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you?",Looking after the environment is important to this person; to care for nature and save life resources.,Looking after the environment is important to this person; to care for nature and save life resources.,Looking after the environment is important to this person; to care for nature and save life resources.,"World Values Survey, Wave 6, 2010-2014, questions V70-V79"
signedup,signedup,,,person,,,primary_facetoface_initial,,,,,,"Firstly, just to check, were you the person who originally agreed to participate in this study?",,,No attribution
smart_automation,smart_automation,smart_automation_mid,,home,survey_responses,,primary_facetoface_initial,primary_web_mid,,Do you own and use any of the following kinds of digital technology already to help you monitor and control your home energy use?,Do you own and use any of the following?,,"Home automation technology for controlling appliances remotely, such as ones made by Lightwave, Z-Wave, Nest, Energenie or Insteon?",Home automation technology for remotely controlling appliances or heating?,,No attribution
smart_monitors,smart_monitors,smart_monitors_mid,,home,survey_responses,,primary_facetoface_initial,primary_web_mid,,Do you own and use any of the following kinds of digital technology already to help you monitor and control your home energy use?,Do you own and use any of the following?,,"Home energy monitoring technology with in-home displays or web or app interfaces for viewing your energy use, such as ones made by geo, Efergy, Owl, Loop, Current Cost, Open Energy Monitor or Smappee?",Home energy monitoring technology (apart from IDEAL's!),,No attribution
smartphone,smartphone,,,other_appliance,,,primary_facetoface_initial,,,Could you tell me how many of each of the following you have in your home? Only include ones that are usually in working condition.<div>[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]</div>,,,p. Smartphones (i.e. touchscreen or Blackberry),,,"ARCC-Water Survey, 2011"
sound_system,sound_system,,,other_appliance,,,primary_facetoface_initial,,,Could you tell me how many of each of the following you have in your home? Only include ones that are usually in working condition.<div>[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]</div>,,,"c. Stereos, radios and other sound systems",,,"ARCC-Water Survey, 2011"
structural_changes,,structural_changes_mid,,,survey_responses,,,primary_web_mid,,,,,,"<div>Finally, have you made any structural changes to your home? </div><div>Please tick all that apply below</div>",,No attribution
tablet,tablet,,,other_appliance,,,primary_facetoface_initial,,,Could you tell me how many of each of the following you have in your home? Only include ones that are usually in working condition.<div>[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]</div>,,,o. Tablets (including the one that we are giving you as part of participation in this project),,,"ARCC-Water Survey, 2011"
tablet_taafi_avoid_7,tablet_taafi_avoid_7_initial,,,survey_responses,,,all_inapp_initial,,,"Below are some thoughts and experiences that many people have with tablets, like the one you're using now. How true or how false is each statement as it applies to you?",,,I avoid using tablets whenever possible.,,,"Schulenberg and Melton, 2008"
tablet_taafi_enjoy_7,tablet_taafi_enjoy_7_initial,,,survey_responses,,,all_inapp_initial,,,"Below are some thoughts and experiences that many people have with tablets, like the one you're using now. How true or how false is each statement as it applies to you?",,,I enjoy using tablets.,,,"Schulenberg and Melton, 2008"
tablet_taafi_fear_7,tablet_taafi_fear_7_initial,,,survey_responses,,,all_inapp_initial,,,"Below are some thoughts and experiences that many people have with tablets, like the one you're using now. How true or how false is each statement as it applies to you?",,,"When I use a tablet, I am afraid that I will damage it.",,,"Schulenberg and Melton, 2008"
tablet_taafi_important_7,tablet_taafi_important_7_initial,,,survey_responses,,,all_inapp_initial,,,"Below are some thoughts and experiences that many people have with tablets, like the one you're using now. How true or how false is each statement as it applies to you?",,,Being able to use a tablet is important to me.,,,"Schulenberg and Melton, 2008"
tablet_taafi_install_7,tablet_taafi_install_7_initial,,,survey_responses,,,all_inapp_initial,,,"Below are some thoughts and experiences that many people have with tablets, like the one you're using now. How true or how false is each statement as it applies to you?",,,I am comfortable installing and upgrading tablet apps.,,,"Schulenberg and Melton, 2008"
tablet_taafi_learn_apps_7,tablet_taafi_learn_apps_7_initial,,,survey_responses,,,all_inapp_initial,,,"Below are some thoughts and experiences that many people have with tablets, like the one you're using now. How true or how false is each statement as it applies to you?",,,I feel comfortable learning to use new apps.,,,"Schulenberg and Melton, 2008"
tablet_taafi_understand_7,tablet_taafi_understand_7_initial,,,survey_responses,,,all_inapp_initial,,,"Below are some thoughts and experiences that many people have with tablets, like the one you're using now. How true or how false is each statement as it applies to you?",,,I feel that I understand how to use tablets.,,,"Schulenberg and Melton, 2008"
television,television,,,other_appliance,,,primary_facetoface_initial,,,Could you tell me how many of each of the following you have in your home? Only include ones that are usually in working condition.<div>[WRITE IN HOW MANY OF EACH (IF NONE WRITE Ã¢ÂÂ0Ã¢ÂÂ)]</div>,,,a. Television,,,"ARCC-Water Survey, 2011"
transport_car_8,transport_car_8_initial,,,survey_responses,,,primary_facetoface_initial,,,"Please think now about places that you need to visit and that you like to visit. I'd like you to say how well connnected you feel your home is to these places using different kinds of transport, which I'm going to read out to you in a moment. Please give a number on a scale from 1 to 7, where 1 is Very badly connected, and 7 is Very well connected. <b>[Show card 'transport']</b>",,,d. Roads for driving your own car or other vehicle,,,No attribution
transport_cycle_8,transport_cycle_8_initial,,,survey_responses,,,primary_facetoface_initial,,,"Please think now about places that you need to visit and that you like to visit. I'd like you to say how well connnected you feel your home is to these places using different kinds of transport, which I'm going to read out to you in a moment. Please give a number on a scale from 1 to 7, where 1 is Very badly connected, and 7 is Very well connected. <b>[Show card 'transport']</b>",,,c. Bicycle paths and bicycle lanes,,,No attribution
transport_foot_8,transport_foot_8_initial,,,survey_responses,,,primary_facetoface_initial,,,"Please think now about places that you need to visit and that you like to visit. I'd like you to say how well connnected you feel your home is to these places using different kinds of transport, which I'm going to read out to you in a moment. Please give a number on a scale from 1 to 7, where 1 is Very badly connected, and 7 is Very well connected. <b>[Show card 'transport']</b>",,,b. Footpaths,,,No attribution
transport_public_8,transport_public_8_initial,,,survey_responses,,,primary_facetoface_initial,,,"Please think now about places that you need to visit and that you like to visit. I'd like you to say how well connnected you feel your home is to these places using different kinds of transport, which I'm going to read out to you in a moment. Please give a number on a scale from 1 to 7, where 1 is Very badly connected, and 7 is Very well connected. <b>[Show card 'transport']</b>",,,"a. Public transport; that is, buses and trains",,,No attribution
ttmsoc_activitiesA_2h,ttmsoc_activitiesA_2h_initial,,,survey_responses,,,primary_facetoface_initial,,,"Sometimes changes in our behaviour can reduce the amount of energy we use at home. The IDEAL project aims to provide information about the energy you use and ideas for convenient ways to reduce energy use. We'd like to know how much you [and your household] have already thought about ways to reduce your energy use. I'm going to read out a list of statements, which are also printed here <b>[Show either card ttmsoc_single or ttmsoc_multiple depending whether the participant lives alone or with others].</b> Could you tell me all of the statements that apply to you? <div>[Note that A and B are exclusive - if they are selected, no other option can be]</div>",,,A. I/we have never really thought about ways to change my/our behaviour to reduce energy use,,,No attribution
ttmsoc_activitiesB_2h,ttmsoc_activitiesB_2h_initial,,,survey_responses,,,primary_facetoface_initial,,,"Sometimes changes in our behaviour can reduce the amount of energy we use at home. The IDEAL project aims to provide information about the energy you use and ideas for convenient ways to reduce energy use. We'd like to know how much you [and your household] have already thought about ways to reduce your energy use. I'm going to read out a list of statements, which are also printed here <b>[Show either card ttmsoc_single or ttmsoc_multiple depending whether the participant lives alone or with others].</b> Could you tell me all of the statements that apply to you? <div>[Note that A and B are exclusive - if they are selected, no other option can be]</div>",,,B. I/we have thought about this but don't see any reason to change my/our behaviour just to reduce energy use,,,No attribution
ttmsoc_activitiesC_2h,ttmsoc_activitiesC_2h_initial,,,survey_responses,,,primary_facetoface_initial,,,"Sometimes changes in our behaviour can reduce the amount of energy we use at home. The IDEAL project aims to provide information about the energy you use and ideas for convenient ways to reduce energy use. We'd like to know how much you [and your household] have already thought about ways to reduce your energy use. I'm going to read out a list of statements, which are also printed here <b>[Show either card ttmsoc_single or ttmsoc_multiple depending whether the participant lives alone or with others].</b> Could you tell me all of the statements that apply to you? <div>[Note that A and B are exclusive - if they are selected, no other option can be]</div>",,,C. I/we have thought about this and have made some changes to my/our behaviour already to reduce energy use,,,No attribution
ttmsoc_activitiesD_2h,ttmsoc_activitiesD_2h_initial,,,survey_responses,,,primary_facetoface_initial,,,"Sometimes changes in our behaviour can reduce the amount of energy we use at home. The IDEAL project aims to provide information about the energy you use and ideas for convenient ways to reduce energy use. We'd like to know how much you [and your household] have already thought about ways to reduce your energy use. I'm going to read out a list of statements, which are also printed here <b>[Show either card ttmsoc_single or ttmsoc_multiple depending whether the participant lives alone or with others].</b> Could you tell me all of the statements that apply to you? <div>[Note that A and B are exclusive - if they are selected, no other option can be]</div>",,,D. I/we have thought about this and have plans to make changes to my/our behaviour in future to reduce energy use,,,No attribution
